iter	Passed	Remaining
0	0	77
1	1	73
2	2	69
3	2	63
4	3	64
5	4	63
6	4	63
7	5	64
8	6	63
9	7	63
10	7	62
11	8	62
12	9	63
13	10	64
14	11	65
15	12	65
16	13	65
17	14	65
18	15	65
19	16	65
20	17	65
21	18	65
22	19	66
23	20	66
24	22	66
25	22	65
26	23	64
27	24	63
28	25	62
29	26	61
30	27	61
31	28	60
32	29	59
33	30	59
34	31	58
35	32	57
36	33	56
37	34	55
38	35	54
39	35	53
40	36	53
41	37	51
42	38	50
43	38	49
44	39	48
45	40	47
46	41	46
47	42	45
48	43	44
49	43	43
50	44	43
51	45	42
52	46	41
53	47	40
54	47	39
55	48	38
56	49	37
57	50	36
58	51	35
59	52	34
60	53	34
61	54	33
62	55	32
63	55	31
64	56	30
65	57	29
66	58	28
67	59	28
68	60	27
69	61	26
70	62	25
71	63	24
72	64	23
73	65	23
74	66	22
75	67	21
76	68	20
77	69	19
78	69	18
79	70	17
80	71	16
81	72	16
82	73	15
83	74	14
84	75	13
85	76	12
86	77	11
87	78	10
88	79	9
89	80	8
90	81	8
91	81	7
92	83	6
93	83	5
94	84	4
95	85	3
96	86	2
97	87	1
98	88	0
99	89	0
