iter	Passed	Remaining
0	1	1117
1	1	989
2	3	1005
3	4	1122
4	5	1112
5	6	1078
6	7	1118
7	9	1130
8	10	1132
9	11	1130
10	12	1129
11	14	1153
12	15	1177
13	16	1173
14	17	1165
15	19	1177
16	20	1173
17	21	1169
18	22	1167
19	23	1169
20	25	1194
21	26	1189
22	27	1184
23	28	1175
24	29	1169
25	31	1167
26	32	1174
27	33	1163
28	34	1163
29	35	1147
30	36	1154
31	38	1156
32	39	1144
33	40	1143
34	41	1138
35	42	1135
36	43	1134
37	44	1135
38	45	1131
39	47	1131
40	48	1127
41	49	1128
42	50	1127
43	51	1123
44	52	1121
45	54	1122
46	55	1127
47	56	1123
48	57	1124
49	59	1128
50	61	1137
51	62	1143
52	63	1142
53	65	1139
54	65	1131
55	67	1130
56	68	1126
57	69	1128
58	70	1121
59	71	1119
60	72	1123
61	74	1131
62	76	1134
63	77	1132
64	78	1132
65	80	1134
66	81	1132
67	82	1132
68	83	1130
69	84	1128
70	86	1127
71	87	1125
72	88	1123
73	89	1121
74	90	1120
75	92	1119
76	93	1118
77	94	1115
78	95	1111
79	96	1107
80	97	1102
81	97	1096
82	98	1093
83	99	1089
84	100	1085
85	101	1082
86	102	1079
87	103	1076
88	104	1071
89	105	1070
90	107	1069
91	107	1063
92	108	1059
93	109	1058
94	110	1055
95	111	1054
96	113	1053
97	114	1050
98	115	1047
99	115	1043
100	116	1038
101	117	1034
102	118	1031
103	119	1027
104	120	1023
105	121	1021
106	121	1017
107	122	1013
108	123	1010
109	124	1005
110	124	1000
111	125	997
112	126	993
113	127	989
114	128	985
115	128	981
116	129	978
117	130	974
118	131	969
119	131	965
120	132	961
121	132	956
122	133	952
123	134	948
124	135	945
125	135	941
126	136	937
127	136	932
128	137	927
129	138	923
130	138	920
131	139	917
132	140	914
133	140	910
134	142	912
135	143	910
136	144	909
137	145	905
138	145	904
139	146	902
140	147	900
141	148	898
142	149	895
143	150	893
144	151	891
145	152	890
146	153	888
147	153	885
148	154	883
149	155	881
150	156	880
151	157	877
152	157	874
153	158	870
154	158	866
155	159	862
156	159	858
157	160	855
158	161	852
159	161	848
160	162	845
161	162	842
162	163	838
163	163	835
164	164	833
165	165	830
166	165	827
167	166	823
168	166	820
169	167	817
170	167	814
171	168	811
172	168	807
173	169	804
174	170	801
175	170	798
176	171	795
177	171	792
178	171	788
179	172	785
180	172	782
181	173	779
182	173	776
183	174	773
184	174	770
185	175	766
186	175	763
187	176	760
188	176	757
189	176	754
190	177	751
191	177	749
192	178	746
193	179	744
194	179	741
195	180	739
196	180	737
197	181	734
198	181	732
199	182	730
200	183	729
201	184	727
202	184	725
203	185	722
204	185	720
205	186	718
206	186	715
207	187	713
208	187	711
209	188	708
210	189	707
211	189	704
212	190	702
213	190	699
214	190	697
215	191	694
216	191	692
217	192	689
218	192	687
219	193	684
220	193	682
221	194	680
222	194	678
223	195	676
224	195	674
225	196	672
226	196	669
227	197	667
228	197	665
229	197	662
230	198	660
231	198	658
232	199	656
233	199	654
234	200	652
235	200	649
236	201	647
237	201	645
238	201	643
239	202	640
240	202	638
241	203	636
242	203	634
243	204	632
244	204	630
245	204	628
246	205	626
247	205	624
248	206	622
249	206	620
250	207	619
251	207	617
252	208	615
253	208	613
254	209	611
255	209	609
256	210	607
257	211	607
258	211	605
259	211	603
260	212	601
261	212	599
262	213	597
263	213	595
264	214	594
265	214	592
266	215	590
267	215	588
268	215	586
269	216	585
270	216	583
271	217	581
272	217	580
273	218	578
274	218	576
275	219	575
276	220	574
277	220	572
278	220	570
279	221	569
280	222	568
281	222	566
282	222	564
283	223	562
284	223	561
285	224	559
286	224	557
287	224	556
288	225	554
289	225	552
290	226	551
291	226	549
292	227	547
293	227	546
294	227	544
295	228	542
296	228	541
297	229	539
298	229	538
299	229	536
300	230	534
301	230	533
302	231	531
303	231	530
304	231	528
305	232	527
306	232	525
307	233	523
308	233	522
309	234	520
310	234	519
311	234	517
312	235	516
313	235	515
314	236	513
315	236	512
316	236	510
317	237	509
318	237	507
319	238	506
320	238	504
321	239	503
322	239	502
323	240	500
324	240	499
325	241	498
326	241	497
327	241	495
328	242	494
329	242	493
330	243	491
331	243	490
332	244	489
333	244	487
334	245	486
335	245	485
336	246	484
337	246	483
338	247	481
339	247	480
340	248	479
341	248	478
342	249	476
343	249	476
344	250	474
345	250	473
346	251	472
347	251	471
348	251	470
349	252	468
350	252	467
351	253	466
352	253	465
353	254	463
354	254	462
355	255	461
356	255	460
357	255	458
358	256	457
359	256	456
360	257	455
361	257	454
362	258	453
363	258	451
364	259	450
365	259	449
366	260	448
367	260	447
368	261	446
369	262	446
370	262	445
371	263	444
372	263	443
373	264	441
374	264	440
375	265	439
376	265	438
377	266	437
378	266	436
379	267	435
380	267	434
381	268	433
382	268	432
383	268	431
384	269	430
385	270	429
386	270	428
387	271	427
388	271	426
389	272	425
390	272	424
391	273	423
392	273	423
393	274	422
394	275	421
395	275	420
396	276	419
397	276	418
398	277	417
399	278	417
400	278	416
401	279	415
402	279	413
403	280	413
404	280	412
405	281	411
406	281	410
407	281	409
408	282	407
409	282	406
410	283	405
411	283	404
412	284	403
413	284	402
414	284	401
415	285	400
416	285	399
417	286	398
418	286	397
419	286	396
420	287	395
421	287	394
422	288	393
423	288	392
424	289	391
425	289	390
426	289	389
427	290	388
428	290	387
429	291	386
430	291	385
431	292	384
432	292	383
433	292	382
434	293	381
435	293	380
436	294	379
437	294	378
438	295	377
439	295	376
440	295	375
441	296	374
442	296	373
443	297	372
444	297	371
445	298	370
446	298	369
447	298	368
448	299	367
449	299	366
450	300	365
451	302	366
452	302	365
453	303	364
454	304	364
455	304	363
456	305	362
457	305	361
458	306	360
459	306	360
460	307	359
461	307	358
462	308	357
463	308	356
464	308	355
465	309	354
466	309	353
467	310	352
468	310	351
469	311	351
470	311	350
471	312	349
472	312	348
473	313	347
474	313	346
475	314	345
476	314	345
477	315	344
478	316	344
479	316	343
480	317	342
481	317	341
482	318	340
483	319	340
484	319	339
485	320	338
486	320	337
487	321	336
488	321	336
489	322	335
490	322	334
491	323	333
492	323	332
493	324	331
494	324	331
495	324	330
496	325	329
497	325	328
498	326	327
499	326	326
500	327	326
501	327	325
502	328	324
503	328	323
504	329	322
505	329	321
506	330	321
507	330	320
508	331	319
509	331	318
510	332	318
511	333	317
512	333	316
513	334	316
514	334	315
515	335	314
516	335	313
517	336	312
518	336	312
519	337	311
520	337	310
521	338	309
522	339	309
523	340	309
524	340	308
525	341	307
526	341	306
527	342	306
528	342	305
529	343	304
530	343	303
531	344	303
532	345	302
533	345	301
534	346	300
535	346	300
536	347	299
537	347	298
538	347	297
539	348	296
540	349	296
541	349	295
542	350	294
543	350	294
544	351	293
545	351	292
546	352	291
547	352	291
